,Company,Cities,Year of starting,FOUNDERS,Industries,Funding amount,Funding rounds,No of employees,No of investors
223,) KIMS Hospitals, Hyderabad, 2000,"Pavan Sondur, Prashant Kumar",Health,"21,540,065",Number of funding rounds: 3,101-250,Number of investors: 4
224,) InterviewBit, Bengaluru, 2015,Sahil Sheth,E-Learning,"44,580,231",Number of funding rounds: 2,501-1000,Number of investors: 10
225,) Oye Rickshaw, Gurgaon, 2017,"Amit Gupta, Hemant Gupta, Naveen Dachuri, RK Misra",Electric,"3,439,351",Number of funding rounds: 3,101-250,Number of investors: 11
226,) Arzooo.com, Bengaluru, 2018,"Amit Sethi, Mandeep Manocha, Nakul Kumar",Consumer,"22,500,000",Number of funding rounds: 6,101-250,Number of investors: 9
227,) Amber Group, Gurgaon, 1990,"Anupam Agarwal, Karan Jain",Consumer,"317,695,079",Number of funding rounds: 1,501-1000,Number of investors: 6
228,) Star Health and Allied Insurance, Nungambakkam, 2006,"Anirban Majumdar, Devarshi Shah, Saurabh Gupta",Health,"5,100,000",Number of funding rounds: 3,101-250,Number of investors: 1
229,) Magicbricks, Noida, 2006,"Dhruv Agarwala, Kartik Varma, Prashan Agarwal",Commercial,"824,830,000",Number of funding rounds: 1,251-500,Number of investors: 13
230,) Unbxd, Bengaluru, 2011,"Chintan Raikar, Prashant ",Artificial,"13,670,000",Number of funding rounds: 7,1-10,Number of investors: 8
231,) LIDO, Mumbai, 2019,"Sandipan Mitra, Uttam Kumar",E-Learning,"17,000,000",Number of funding rounds: 2,11-50,Number of investors: 7
232,) Yulu, Bengaluru, 2017,Ritesh Agarwal,Electric,"12,550,000",Number of funding rounds: 4,51-100,Number of investors: 9
233,) Cashify, Gurgaon, 2015,"Arnav Kumar, Vaibhav Singh",Consumer,"241,361,584",Number of funding rounds: 5,501-1000,Number of investors: 10
234,) Revv, Gurgaon, 2015,Madhukar Gangadi,Apps,"12,600,000",Number of funding rounds: 3,51-100,Number of investors: 4
235,) UrbanPiper, Bengaluru, 2015,"Manish Tewari, Rohan Kaushal",Food,"41,255,467",Number of funding rounds: 3,51-100,Number of investors: 3
236,) PropTiger, Gurgaon, 2011,"Akshay Deshraj, Manoj Sarda, Sourabh Gupta",Intellectual,"6,390,562",Number of funding rounds: 2,101-250,Number of investors: 9
237,) Miko, Mumbai, 2015,"Ankush Sachdeva, Bhanu Pratap Singh, Farid Ahsan",Artificial,"6,100,000",Number of funding rounds: 5,251-500,Number of investors: 10
238,) HungerBox, Bengaluru, 2015,"Mukesh Bansal, Prasanth Reddy, Sumit Sinha",B2B,"26,963,740",Number of funding rounds: 8,11-50,Number of investors: 23
239,) OYO, Gurgaon, 2012,"Aarti Gill, Mihir Gadani",Hospitality,"211,350,000",Number of funding rounds: 17,101-250,Number of investors: 5
240,) Leap Finance, Bengaluru, 2019,"Abhishek Sagar, Ashutosh Kumar, Manoj Munna, Narendra Agrawal, Yadvendar Champawat",Credit,"2,001,796",Number of funding rounds: 2,101-250,Number of investors: 6
241,) MedPlus, Hyderabad, 2006,Ajay Kaushal,E-Commerce,"27,420,684",Number of funding rounds: 7,51-100,Number of investors: 8
242,) PiggyRide, Bengaluru, 2019,"Ganesh Balakrishnan, Utkarsh Biradar",Children,"17,271,725",Number of funding rounds: 2,101-250,Number of investors: 7
243,) Vernacular.ai, Bengaluru, 2016,"Ankit Ratan, Ankur Pandey, Arpit Ratan",Artificial,"10,361,312",Number of funding rounds: 4,11-50,Number of investors: 17
244,) ShareChat, Bengaluru, 2015,Anuj Rakyan,Internet,"8,923,539",Number of funding rounds: 10,1001-5000,Number of investors: 13
245,) PhableCare, Bengaluru, 2017,"Ajay Kumar, Jatin Jakharia, Kshitij Nagvekar, Kunal Patil, Lokesh Tiwari, Moiz Arsiwala, Nilesh Dungarwal, Soumil Rao",Health,"26,500,000",Number of funding rounds: 5,11-50,Number of investors: 4
246,) OZiva, Mumbai, 2016,"Ankit Utreja, Avlesh Singh",Dietary,"25,837,687",Number of funding rounds: 2,51-100,Number of investors: 10
247,) Testbook.com, Mumbai, 2013,Subhra Chadda,E-Learning,"5,168,764",Number of funding rounds: 5,11-50,Number of investors: 7
248,) Billdesk, Ahmedabad, 2000,DH,Finance,"70,196,840",Number of funding rounds: 4,51-100,Number of investors: 7
249,) Flatheads, Bengaluru, 2019,"Aditi Olemann, Ganesh Suryanarayanan, Gopichand Katragadda",E-Commerce,"6,287,653",Number of funding rounds: 2,101-250,Number of investors: 12
250,) Signzy, Bengaluru, 2015,"Ramanathan RV, Vimal Kumar",Artificial,"67,262,961",Number of funding rounds: 6,11-50,Number of investors: 7
251,) RAW Pressery, Mumbai, 2014,Shailendra Agarwal,Delivery,"107,798,787",Number of funding rounds: 12,11-50,Number of investors: 4
252,) WorkIndia, Mumbai, 2015,"Anish Khadiya, Mayank Kukreja",Human,"795,000,000",Number of funding rounds: 3,501-1000,Number of investors: 8
253,) WebEngage, Mumbai, 2011,"Sivaramakrishnan Narayanan, Yashwanth Madhusudan",Enterprise,"52,800,000",Number of funding rounds: 7,11-50,Number of investors: 5
254,) Chumbak, Bengaluru, 2009,"Hitesh Dhingra, Rahul Kumar, Sachin Bhatia",E-Commerce,"18,549,687",Number of funding rounds: 6,101-250,Number of investors: 4
255,) Mu Sigma, Bengaluru, 2004,Ajit ,Analytics,"5,569,257",Number of funding rounds: 7,251-500,Number of investors: 5
256,) Myelin Foundry, Bengaluru, 2019,Rashmi Daga,Artificial,"60,157,500",Number of funding rounds: 4,51-100,Number of investors: 6
257,) JUSPAY, Kormangala, 2012,Gautam Virk,FinTech,"166,195,349",Number of funding rounds: 2,501-1000,Number of investors: 5
258,) DaMENSCH, Bengaluru, 2018,"Ashok Hariharan, Hatim Baheranwala, Vineet Jawa",E-Commerce,"1,784,442",Number of funding rounds: 3,101-250,Number of investors: 2
259,) InstantPay, Delhi, 2013,Hardika Shah,E-Commerce,"22,685,276",Number of funding rounds: 1,1001-5000,Number of investors: 4
260,) ITILITE, Bengaluru, 2017,"Keshav Prawasi, Nitin Babel, Sachin Jaiswal, Shishir Modi",Business,"23,500,000",Number of funding rounds: 3,251-500,Number of investors: 10
261,) Fyle, Bengaluru, 2016,"Abhishek Kumar, Shreyans Daga, Vijay Arisetty",Accounting,"50,000,000",Number of funding rounds: 5,11-50,Number of investors: 23
